Longitude,Latitude,Green Index
128.896831,35.084308,12.291397
128.897071,35.084309,9.700039294
128.896947,35.084364,10.80835105
128.896823,35.084364,11.92879761
128.897075,35.084364,9.715063332
128.897205,35.084308,8.694006564
128.896703,35.084364,12.28937454
128.896586,35.084305,17.89189626
128.897197,35.084364,9.011822763
128.897327,35.084308,9.807518953
128.896588,35.084365,11.69043547
128.89732,35.084364,8.937858266
128.896466,35.084299,11.06144832
128.896473,35.084365,11.34950536
128.897453,35.084308,10.93489969
128.897443,35.084365,9.059495192
128.89634,35.084291,10.94934588
128.896369,35.084366,11.11634384
128.897569,35.084307,10.26575213
128.89756,35.084365,10.56536612
128.896217,35.084271,10.33884985
128.89626,35.084368,10.20103319
128.897679,35.084307,11.1631495
128.896081,35.08398,11.07907267
128.896078,35.084071,10.61939488
128.896084,35.083892,10.82481971
128.897681,35.084365,10.8696029
128.896077,35.084168,10.63817493
128.896086,35.083801,10.8331985
128.896077,35.084268,8.960972171
128.896012,35.084029,12.3350245
128.896087,35.083712,11.10709828
128.896014,35.083929,12.85971015
128.896077,35.084317,8.376190366
128.896011,35.084129,11.7502427
128.897791,35.084308,11.23335799
128.896015,35.083828,12.42690227
128.89601,35.084228,10.91843103
128.896088,35.083624,11.28334181
128.897805,35.084367,11.10363119
128.896078,35.084416,9.695127589
128.896015,35.083726,12.42748012
128.896009,35.084326,9.878016365
128.896008,35.084375,10.20825629
128.896088,35.083536,10.79506056
128.896016,35.083624,12.65428532
128.896008,35.084472,11.76584458
128.897928,35.084367,10.81239599
128.896088,35.083447,11.12327801
128.896016,35.083522,11.49107803
128.83186,35.150697,7.663704234
128.831968,35.150698,6.824669471
128.831716,35.1507,21.72504854
128.83208,35.1507,7.081522744
128.831568,35.150914,22.83249353
128.831552,35.150811,7.629900148
128.831564,35.151033,9.601805196
128.832195,35.150702,7.09712463
128.831584,35.150659,4.98046875
128.831565,35.151138,8.517763036
128.831558,35.150611,4.425446098
128.832311,35.150703,16.64807923
128.831561,35.151219,7.585116956
128.831979,35.151313,14.31039663
128.831718,35.151321,10.23137019
128.832093,35.15131,9.966138129
128.831545,35.150514,6.379148946
128.83159,35.151293,9.431629068
128.831641,35.151316,9.29554595
128.832454,35.150882,13.99258044
128.831403,35.15062,7.388070913
128.832442,35.150766,9.591115015
128.832456,35.150972,16.67263776
128.832425,35.150705,6.559148484
128.832203,35.151311,11.11605492
128.832457,35.151069,11.52748243
128.832458,35.151175,24.17483358
128.832307,35.151318,11.4919448
128.832538,35.150706,8.59750601
128.83125,35.150621,7.302838388
128.83244,35.151285,10.78263683
128.83184,35.150277,10.35127358
128.831727,35.150275,20.1790172
128.832648,35.150707,9.594004253
128.832309,35.150276,7.347910503
128.832758,35.150708,9.782671505
128.832427,35.15026,9.355642104
128.832484,35.150254,8.107202293
128.832466,35.150208,8.418951091
128.8326,35.150254,8.550122504
128.832924,35.15071,7.329997226
128.830861,35.150601,12.50635632
128.832711,35.150256,9.985496024
128.832979,35.150585,6.996579142
128.830715,35.15091,8.127138036
128.830711,35.151015,9.774581638
128.832943,35.15046,6.298539201
128.830726,35.150653,4.408110669
128.830709,35.151117,9.420938887
128.831225,35.150043,7.331152922
128.878092,35.088904,8.002611871
128.878217,35.088939,8.86476054
128.878318,35.088902,11.3827316
128.877519,35.088524,13.90590329
128.877498,35.088438,10.00716531
128.878429,35.088903,12.20067493
128.878386,35.088939,10.65377681
128.878048,35.089053,7.363223465
128.877929,35.089053,7.202870747
128.878169,35.089054,11.30327755
128.87749,35.088347,9.363443047
128.877422,35.088488,10.78177006
128.877816,35.089053,6.935616217
128.87829,35.089054,8.149963018
128.877422,35.088395,10.33856093
128.877493,35.088261,10.07968519
128.878549,35.088939,11.73030695
128.877425,35.0883,10.02450074
128.878404,35.089054,8.668003421
128.877497,35.088175,10.607549
128.877593,35.089052,4.628848465
128.878655,35.088904,12.18854013
128.877427,35.088208,9.563667252
128.878515,35.089054,8.329962555
128.877499,35.088088,11.57775518
128.877479,35.089051,5.603966346
128.878708,35.088938,13.46384985
128.877429,35.08812,9.76186899
128.878626,35.089055,8.636799649
128.877421,35.089051,13.2497573
128.87877,35.088905,12.53524871
128.877499,35.087999,10.02796783
128.878737,35.089055,9.072785688
128.87743,35.087996,14.29797291
128.878863,35.088938,13.37630594
128.877497,35.087906,10.2120123
128.877431,35.087912,9.296412722
128.878847,35.089055,11.33563702
128.87718,35.089051,6.051798262
128.8775,35.087805,13.71983635
128.879011,35.088938,14.06423354
128.877432,35.087821,11.80080436
128.878957,35.089055,8.659913554
128.879099,35.088907,12.44799371
128.877506,35.087702,14.29739506
128.877435,35.087726,12.98134708
128.87907,35.089054,8.765659671
128.879152,35.088938,14.33726655
128.876945,35.08905,6.251155695
128.879213,35.088906,12.85682091
128.896615,35.081986,11.14090237
128.896724,35.081982,13.35839266
128.896506,35.081992,10.92189811
128.896834,35.08198,14.00818232
128.896375,35.081997,10.85342317
128.896946,35.081979,9.330505732
