x,y,Green Index,Green Index_d
128.89693,35.084018,10.956834781804735,0.07146888006820204
128.831878,35.150889,10.105798123150887,0.0645007187964713
128.878029,35.088573,10.41919956545858,0.0749037827575379
128.89662,35.081757,10.0442400147929,0.07550121542186544
128.886886,35.112513,4.3665634245562135,0.06721272605856232
128.887241,35.112898,4.156608265532544,0.11632918519354518
128.839779,35.151844,12.063921505177513,0.13688510306519786
128.8390120000001,35.150912,11.161508413461538,0.05317136121468728
128.896813,35.086407,10.915067954881657,0.08216731940614132
128.836969,35.149673,10.174140162721894,0.09052339311280093
